,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
159,Just Bake,https://www.zomato.com/visakhapatnam/just-bake-madhavadhara-vizag/order,4.1,₹100 for one,"Bakery, Desserts, Fast Food"
160,Taco Bell,https://www.zomato.com/visakhapatnam/taco-bell-dwaraka-nagar-vizag/order,3.5,₹100 for one,Mexican
161,Kelvin Scale - Natural Ice Creams And Waffle,https://www.zomato.com/visakhapatnam/kelvin-scale-natural-ice-creams-and-waffle-mvp-colony-vizag/order,4.3,₹100 for one,"Desserts, Ice Cream, Beverages"
162,Guma Gumalu Curry's Meals & Biryani,https://www.zomato.com/visakhapatnam/guma-gumalu-currys-meals-biryani-akkayyapalem-vizag/order,3.0,₹100 for one,"Hyderabadi, Biryani"
163,Sri Devi Hotel,https://www.zomato.com/visakhapatnam/sri-devi-hotel-1-mvp-colony-vizag/order,3.9,₹100 for one,"South Indian, Andhra"
164,Gadiraju Palace,https://www.zomato.com/visakhapatnam/gadiraju-palace-mvp-colony-vizag/order,4.1,₹100 for one,"South Indian, Chinese, North Indian, Sichuan"
165,Olive Grill,https://www.zomato.com/olive-grill-food-truck/order,3.8,₹150 for one,"Chinese, North Indian, Sichuan"
166,Hotel V Pride,https://www.zomato.com/visakhapatnam/hotel-v-pride-allipuram-vizag/order,3.8,₹150 for one,"North Indian, Biryani, Chinese, South Indian, Shake, Mughlai, Sichuan"
167,Mandi Darbar Nawabe Restaurant,https://www.zomato.com/visakhapatnam/mandi-darbar-nawabe-restaurant-marripalem-vizag/order,3.5,₹150 for one,"Biryani, Fast Food"
168,SVR Hotel,https://www.zomato.com/visakhapatnam/svr-hotel-madhavadhara-vizag/order,3.8,₹150 for one,South Indian
169,Gowrishankar Parlour,https://www.zomato.com/visakhapatnam/gowrishankar-parlour-seethammadhara-vizag/order,3.8,₹150 for one,South Indian
170,Hello Vizag Restaurant,https://www.zomato.com/visakhapatnam/hello-vizag-restaurant-dwaraka-nagar-vizag/order,3.6,₹150 for one,"North Indian, Chinese, Biryani, Seafood, Shawarma, Mughlai, Rolls, Momos"
171,8 - 2 - 8 Chef,https://www.zomato.com/visakhapatnam/8-2-8-chef-mvp-colony-vizag/order,3.9,₹150 for one,"Biryani, Chinese, North Indian"
172,Hashtag Restro Cafe,https://www.zomato.com/visakhapatnam/hashtag-restro-cafe-lawsons-bay-vizag/order,3.5,₹150 for one,"Chinese, Continental, North Indian, Biryani, Sichuan"
173,Nimantran Inn,https://www.zomato.com/visakhapatnam/nimantran-inn-allipuram-vizag/order,4.5,₹150 for one,Bengali
174,Kolkata Famous Egg Rolls,https://www.zomato.com/visakhapatnam/kolkata-famous-egg-rolls-madhavadhara-vizag/order,4.0,₹150 for one,"Rolls, Momos, Kebab, Fast Food"
175,Soup Stop,https://www.zomato.com/visakhapatnam/soup-stop-dwaraka-nagar-vizag/order,4.0,₹150 for one,"Chinese, Beverages, Sichuan"
176,Sri Hanuman Bakery & Sweets,https://www.zomato.com/visakhapatnam/sri-hanuman-bakery-sweets-mvp-colony-vizag/order,4.0,₹150 for one,Fast Food
177,Juice Cafe,https://www.zomato.com/visakhapatnam/juice-cafe-2-dondaparithy-vizag/order,4.3,₹100 for one,"Juices, Beverages, Salad, Shake"
178,Varun's Eat,https://www.zomato.com/visakhapatnam/varuns-eat-maharani-peta-vizag/order,4.2,₹100 for one,"North Indian, South Indian, Chinese, Desserts, Beverages, Shake"
179,Visakha Fast Food Centre,https://www.zomato.com/visakhapatnam/visakha-fast-food-centre-dwaraka-nagar-vizag/order,3.9,₹100 for one,"Street Food, Chinese"
180,Vizag Dosa Factory,https://www.zomato.com/vizag-dosa-factory-food-truck/order,4.5,₹100 for one,South Indian
181,Sarvani Sweets,https://www.zomato.com/visakhapatnam/sarvani-sweets-siripuram-vizag/order,4.4,₹100 for one,"Mithai, Bakery, Desserts"
182,Hotel Sri Sai 24/7,https://www.zomato.com/visakhapatnam/hotel-sri-sai-24-7-dwaraka-nagar-vizag/order,3.6,₹100 for one,"South Indian, Chinese"
183,Creme Castle,https://www.zomato.com/visakhapatnam/creme-castle-1-balayya-sastri-layout-vizag/order,3.5,₹100 for one,Ice Cream
184,Drnk Lab,https://www.zomato.com/visakhapatnam/drnk-lab-seethammadhara-vizag/order,4.2,₹100 for one,"Chinese, Pizza, Sandwich, Burger, Fast Food, Desserts, Shake, Beverages"
185,People's Kitchen,https://www.zomato.com/visakhapatnam/peoples-kitchen-lawsons-bay-vizag/order,4.2,₹100 for one,"South Indian, North Indian, Chinese, Mughlai"
186,Swadham-Northway Hotel,https://www.zomato.com/visakhapatnam/swadham-northway-hotel-allipuram-vizag/order,4.0,₹100 for one,"North Indian, Chinese, South Indian, Desserts, Sichuan"
187,Diamond Pearl- Saffron,https://www.zomato.com/visakhapatnam/diamond-pearl-saffron-dwaraka-nagar-vizag/order,4.1,₹100 for one,"North Indian, Chinese, Continental, South Indian"
188,The Good Bowl,https://www.zomato.com/visakhapatnam/the-good-bowl-dwaraka-nagar-vizag/order,3.8,₹100 for one,"North Indian, Pasta, Italian"
189,House Of Dosas,https://www.zomato.com/visakhapatnam/house-of-dosas-1-kirlampudi-layout-vizag/order,4.5,₹200 for one,South Indian
190,Open House - Hotel Royal Fort,https://www.zomato.com/visakhapatnam/open-house-hotel-royal-fort-ram-nagar-vizag/order,4.3,₹200 for one,"North Indian, South Indian, Chinese, Continental"
191,Cake World,https://www.zomato.com/visakhapatnam/cake-world-1-dwaraka-nagar-vizag/order,3.7,₹200 for one,"Bakery, Desserts, Chinese, Fast Food, Sichuan"
192,We Bake Love,https://www.zomato.com/visakhapatnam/we-bake-love-maddilapalem-vizag/order,3.7,₹200 for one,"Bakery, Desserts"
193,Madstreet Delights,https://www.zomato.com/visakhapatnam/madstreet-delights-dwaraka-nagar-vizag/order,4.6,₹200 for one,"Desserts, Beverages, Ice Cream"
194,New Guntur Mess,https://www.zomato.com/visakhapatnam/new-guntur-mess-sagar-nagar-vizag/order,3.2,₹200 for one,"South Indian, Biryani"
195,Gismat Arabic Restaurant,https://www.zomato.com/visakhapatnam/gismat-arabic-restaurant-lawsons-bay-vizag/order,3.8,₹200 for one,Arabian
196,Upland Bistro,https://www.zomato.com/visakhapatnam/upland-bistro-waltair-uplands-vizag/order,4.0,₹200 for one,"Italian, Mexican, Mediterranean, Continental, French, Desserts, Beverages, Pizza"
197,The Thickshake Freezers,https://www.zomato.com/visakhapatnam/the-thickshake-freezers-balayya-sastri-layout-vizag/order,3.8,₹200 for one,"Shake, Beverages"
198,Shawarma Corner,https://www.zomato.com/visakhapatnam/shawarma-corner-mvp-colony-vizag/order,3.8,₹200 for one,Rolls
199,Giani Ice Cream,https://www.zomato.com/visakhapatnam/giani-ice-cream-maddilapalem-vizag/order,4.4,₹200 for one,"Ice Cream, Beverages, Desserts, Shake"
200,BayBee Chikizza,https://www.zomato.com/visakhapatnam/baybee-chikizza-dwaraka-nagar-vizag/order,3.9,₹200 for one,"Fast Food, Beverages"
201,Sri Sai Nellore Vari Mess,https://www.zomato.com/visakhapatnam/sri-sai-nellore-vari-mess-1-jagadamba-junction-vizag/order,3.8,₹50 for one,Andhra
202,SKML Grand Family Restaurant,https://www.zomato.com/visakhapatnam/skml-grand-family-restaurant-allipuram-vizag/order,3.9,₹50 for one,"Chinese, Biryani, North Indian"
203,Vaishali - Hotel Meghalaya,https://www.zomato.com/visakhapatnam/vaishali-hotel-meghalaya-asilmetta-vizag/order,4.1,₹50 for one,"Chinese, Biryani, South Indian, North Indian, Shake"
204,Kebablicious,https://www.zomato.com/visakhapatnam/kebablicious-kirlampudi-layout-vizag/order,4.0,₹50 for one,"Kebab, Momos"
205,Star Lucky Restaurant,https://www.zomato.com/visakhapatnam/star-lucky-restaurant-allipuram-vizag/order,3.9,₹50 for one,"Biryani, Chinese, North Indian"
206,Cabritoz Arabic Shawarma,https://www.zomato.com/visakhapatnam/cabritoz-arabic-shawarma-maharani-peta-vizag/order,3.9,₹50 for one,Shawarma
207,Sri Krishna Mess - Pure Veg Meals,https://www.zomato.com/visakhapatnam/sri-krishna-mess-pure-veg-meals-allipuram-vizag/order,4.1,₹50 for one,South Indian
208,Best Bakers,https://www.zomato.com/visakhapatnam/best-bakers-madhavadhara-vizag/order,3.6,₹50 for one,"Bakery, Desserts, Fast Food"
209,Rasa - Hotel Vivana,https://www.zomato.com/visakhapatnam/rasa-hotel-vivana-siripuram-vizag/order,4.1,₹50 for one,"Chinese, North Indian, Continental, South Indian, Sichuan"
210,Nellore Vari Meals And Tiffins - Hotel Chandra's,https://www.zomato.com/visakhapatnam/nellore-vari-meals-and-tiffins-hotel-chandras-allipuram-vizag/order,3.9,₹50 for one,"Biryani, Seafood, Chinese, North Indian, South Indian"
211,Syamala Ghee Sweets,https://www.zomato.com/visakhapatnam/syamala-ghee-sweets-asilmetta-vizag/order,3.8,₹50 for one,"Mithai, Street Food"
212,The Biryani Life,https://www.zomato.com/visakhapatnam/the-biryani-life-dwaraka-nagar-vizag/order,3.2,₹50 for one,"Biryani, Kebab, Hyderabadi, Lucknowi"
213,Mexico's Fried Chicken,https://www.zomato.com/visakhapatnam/mexicos-fried-chicken-waltair-uplands-vizag/order,3.5,₹250 for one,"Fast Food, Street Food, Juices, Beverages"
214,Drunken Monkey,https://www.zomato.com/visakhapatnam/drunken-monkey-1-asilmetta-vizag/order,3.9,₹250 for one,"Beverages, Juices, Healthy Food, Coffee, Sandwich, Tea"
215,Dwaraka Food Court,https://www.zomato.com/visakhapatnam/dwaraka-food-court-1-dwaraka-nagar-vizag/order,4.1,₹250 for one,"North Indian, Chinese, Biryani, Fast Food, Rolls"
216,Amrutham,https://www.zomato.com/visakhapatnam/amrutham-mvp-colony-vizag/order,4.0,₹250 for one,"Andhra, South Indian, Biryani"
217,Indori Tadka,https://www.zomato.com/visakhapatnam/indori-tadka-3-marripalem-vizag/order,3.5,₹250 for one,"Biryani, North Indian, Chinese, Fast Food"
218,Dum Safar Biryani,https://www.zomato.com/visakhapatnam/dum-safar-biryani-siripuram-vizag/order,4.3,₹250 for one,"North Indian, Biryani, Kebab, Beverages, Desserts"
219,Macchiato,https://www.zomato.com/visakhapatnam/macchiato-balayya-sastri-layout-vizag/order,3.5,₹250 for one,"Pizza, Burger, Beverages, Sandwich, Bakery"
220,New Delhi Sweets,https://www.zomato.com/visakhapatnam/new-delhi-sweets-allipuram-vizag/order,4.0,₹250 for one,"Mithai, Bakery, Street Food"
221,Happyoi,https://www.zomato.com/visakhapatnam/happyoi-vishalaksmi-nagar-vizag/order,4.2,₹250 for one,"Cafe, Fast Food, Chinese, Beverages"
222,Sujana Kitchen,https://www.zomato.com/visakhapatnam/sujana-kitchen-dondaparithy-vizag/order,3.7,₹250 for one,"South Indian, Fast Food, Chinese, Street Food"
223,Cabritoz,https://www.zomato.com/visakhapatnam/cabritoz-maharani-peta-vizag/order,4.0,₹250 for one,"Mandi, Chinese, North Indian"
224,ROHHOTEL,https://www.zomato.com/visakhapatnam/rohhotel-dwaraka-nagar-vizag/order,4.0,₹250 for one,"North Indian, Chinese, Biryani"
225,Taste Well,https://www.zomato.com/visakhapatnam/taste-well-jagadamba-junction-vizag/order,4.0,₹200 for one,"Biryani, Chinese, Sichuan"
226,Ganapati Restaurant,https://www.zomato.com/visakhapatnam/ganapati-restaurant-allipuram-vizag/order,4.1,₹200 for one,"North Indian, Rajasthani"
227,Made By Mom,https://www.zomato.com/visakhapatnam/made-by-mom-mvp-colony-vizag/order,3.3,₹200 for one,South Indian
228,Barkaas Arabic Restaurant,https://www.zomato.com/visakhapatnam/barkaas-arabic-restaurant-dwaraka-nagar-vizag/order,3.9,₹200 for one,"Arabian, North Indian, Biryani, Beverages"
229,Dolphin Hotel,https://www.zomato.com/visakhapatnam/dolphin-hotel-jagadamba-junction-vizag/order,3.8,₹200 for one,"Chinese, North Indian"
230,Mantris Hotel,https://www.zomato.com/visakhapatnam/mantris-hotel-asilmetta-vizag/order,3.8,₹200 for one,"Biryani, Chinese, South Indian, North Indian, Fast Food, Beverages, Desserts, Sichuan"
231,Prudhvi's Kitchen,https://www.zomato.com/visakhapatnam/prudhvis-kitchen-1-vishalaksmi-nagar-vizag/order,3.8,₹200 for one,"Chinese, Biryani, South Indian, Kebab"
232,Baskin Robbins,https://www.zomato.com/visakhapatnam/baskin-robbins-sriharipuram-vizag/order,4.1,₹200 for one,"Ice Cream, Desserts, Beverages"
233,The Chick Nation,https://www.zomato.com/visakhapatnam/the-chick-nation-dwaraka-nagar-vizag/order,3.9,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Shake"
234,Sri Padmavathi Restaurant,https://www.zomato.com/visakhapatnam/sri-padmavathi-restaurant-mvp-colony-vizag/order,3.5,₹200 for one,"Biryani, Kebab, North Indian, Mughlai, Chinese, Sichuan"
235,The Foodwala.Com,https://www.zomato.com/visakhapatnam/the-foodwala-com-ram-nagar-vizag/order,3.5,₹200 for one,Biryani
236,Rolls Station,https://www.zomato.com/visakhapatnam/rolls-station-seethammadhara-vizag/order,3.5,₹200 for one,"Rolls, Biryani, Chinese, Sichuan"
237,Akshaya Restaurant,https://www.zomato.com/visakhapatnam/akshaya-restaurant-dondaparithy-vizag/order,3.8,₹300 for one,"Biryani, Mughlai, Chinese, Seafood"
238,Pastry Coffee N Conversation,https://www.zomato.com/visakhapatnam/pastry-coffee-n-conversation-siripuram-vizag/order,3.8,₹300 for one,"Cafe, Italian, Beverages, Pizza, Sandwich, Pasta, Mexican, Burger"
239,AB's - Absolute Barbecues,https://www.zomato.com/visakhapatnam/abs-absolute-barbecues-dwaraka-nagar-vizag/order,3.6,₹300 for one,"North Indian, Mediterranean, European"
240,Dish Delice Pizza,https://www.zomato.com/visakhapatnam/dish-delice-pizza-mvp-colony-vizag/order,4.4,₹300 for one,"Pizza, Fast Food"
241,Heritage,https://www.zomato.com/visakhapatnam/heritage-asilmetta-vizag/order,3.8,₹300 for one,"South Indian, Chinese, North Indian, Beverages"
242,Raj Makkne,https://www.zomato.com/visakhapatnam/raj-makkne-1-vishalaksmi-nagar-vizag/order,3.5,₹300 for one,"North Indian, Chinese, Mughlai, Shawarma, Biryani, Mandi, Desserts, Beverages"
243,Lazeez Pista Haleem Point,https://www.zomato.com/visakhapatnam/lazeez-pista-haleem-point-allipuram-vizag/order,3.6,₹300 for one,"Biryani, Chinese, Mithai, Desserts"
244,Bunnies Burger,https://www.zomato.com/visakhapatnam/bunnies-burger-balayya-sastri-layout-vizag/order,3.9,₹300 for one,Burger
245,Sivakoti's Food Magic,https://www.zomato.com/visakhapatnam/sivakotis-food-magic-vishalaksmi-nagar-vizag/order,4.0,₹300 for one,"North Indian, Chinese, Biryani"
246,Rolls Mama,https://www.zomato.com/visakhapatnam/rolls-mama-jagadamba-junction-vizag/order,4.1,₹300 for one,"Rolls, Chinese, Sichuan"
247,Platform 65,https://www.zomato.com/visakhapatnam/platform-65-waltair-uplands-vizag/order,4.0,₹300 for one,"North Indian, Biryani, Chinese, Shake"
248,Sri Kakateeya Mess,https://www.zomato.com/visakhapatnam/sri-kakateeya-mess-dwaraka-nagar-vizag/order,4.3,₹300 for one,"Biryani, South Indian, Chinese"
249,V Nawabi Darbar,https://www.zomato.com/visakhapatnam/v-nawabi-darbar-akkayyapalem-vizag/order,3.9,₹250 for one,"North Indian, Chinese, Arabian, Biryani, Sichuan"
250,USPizza,https://www.zomato.com/visakhapatnam/uspizza-balayya-sastri-layout-vizag/order,3.6,₹250 for one,"Pizza, Salad, Fast Food, Desserts, Beverages"
251,Hotel Ambicas Jewel,https://www.zomato.com/visakhapatnam/hotel-ambicas-jewel-maddilapalem-vizag/order,3.7,₹250 for one,North Indian
252,Varun's Pulka Kitchen,https://www.zomato.com/visakhapatnam/varuns-pulka-kitchen-dwaraka-nagar-vizag/order,4.2,₹250 for one,North Indian
253,Elegant Hotel,https://www.zomato.com/visakhapatnam/elegant-hotel-ram-nagar-vizag/order,4.0,₹250 for one,"North Indian, South Indian, Chinese, Mughlai, Beverages, Sichuan"
254,Bakers Castle,https://www.zomato.com/visakhapatnam/bakers-castle-siripuram-vizag/order,4.4,₹250 for one,"Bakery, Fast Food, Chinese"
255,Brew 'n' Bistro,https://www.zomato.com/visakhapatnam/brew-n-bistro-lawsons-bay-vizag/order,3.9,₹250 for one,"Italian, Pizza, Burger, Continental, Shake"
256,Dharani,https://www.zomato.com/visakhapatnam/dharani-jagadamba-junction-vizag/order,4.2,₹250 for one,"North Indian, South Indian, Chinese, Desserts, Beverages"
257,Cafe Coffee Day,https://www.zomato.com/visakhapatnam/cafe-coffee-day-4-maharani-peta-vizag/order,3.3,₹250 for one,"Cafe, Fast Food, Coffee, Desserts, Beverages"
258,Chaitanya Tiffins,https://www.zomato.com/visakhapatnam/chaitanya-tiffins-akkayyapalem-vizag/order,3.8,₹250 for one,South Indian
259,Rolls Mama,https://www.zomato.com/visakhapatnam/rolls-mama-sagar-nagar-vizag/order,3.7,₹250 for one,"Rolls, Kebab, North Indian"
260,Jack Frost,https://www.zomato.com/visakhapatnam/jack-frost-siripuram-vizag/order,4.4,₹250 for one,"Ice Cream, Desserts, Shake"
261,Creme Berry,https://www.zomato.com/visakhapatnam/creme-berry-balayya-sastri-layout-vizag/order,4.3,₹100 for one,"Beverages, Shake"
262,Venna Muddha Parlour & Milk Products,https://www.zomato.com/visakhapatnam/venna-muddha-parlour-milk-products-seethammadhara-vizag/order,4.2,₹100 for one,South Indian
263,Sri Nidhi Food,https://www.zomato.com/visakhapatnam/sri-nidhi-food-siripuram-vizag/order,3.9,₹100 for one,"South Indian, Street Food"
264,V Hotel Olive,https://www.zomato.com/visakhapatnam/v-hotel-olive-dwaraka-nagar-vizag/order,3.9,₹100 for one,"Biryani, Chinese, Continental, Hyderabadi, North Indian, South Indian, Desserts, Beverages"
265,Deepikasetty Pizza Blast,https://www.zomato.com/visakhapatnam/deepikasetty-pizza-blast-seethammadhara-vizag/order,3.9,₹100 for one,"Pizza, Sandwich"
266,Sip And Bite,https://www.zomato.com/visakhapatnam/sip-and-bite-jagadamba-junction-vizag/order,4.0,₹100 for one,"Tea, Beverages, Shake, Fast Food, Sandwich, Pizza"
267,Circars Bistro,https://www.zomato.com/visakhapatnam/circars-bistro-lawsons-bay-vizag/order,-,₹100 for one,"Fast Food, Salad"
268,Dine Destiny,https://www.zomato.com/visakhapatnam/dine-destiny-lawsons-bay-vizag/order,3.7,₹100 for one,"Biryani, North Indian, Mughlai, Continental, Chinese, Beverages, Seafood, Italian"
269,Delhi Diner - Hotel Rockdale,https://www.zomato.com/visakhapatnam/delhi-diner-hotel-rockdale-ram-nagar-vizag/order,3.8,₹100 for one,"North Indian, South Indian, Chinese, Biryani, Sichuan, Beverages, Desserts"
270,SSM Pan Mahal,https://www.zomato.com/visakhapatnam/ssm-pan-mahal-venkojipalem-vizag/order,4.3,₹100 for one,Paan
271,Protein Inn,https://www.zomato.com/visakhapatnam/protein-inn-balayya-sastri-layout-vizag/order,3.6,₹100 for one,"Healthy Food, Fast Food, Sandwich, Beverages"
272,Crazy Biryani,https://www.zomato.com/visakhapatnam/crazy-biryani-seethammadhara-vizag/order,3.5,₹100 for one,"Biryani, Chinese, North Indian"
273,Beyond Bajji,https://www.zomato.com/visakhapatnam/beyond-bajji-1-jagadamba-junction-vizag/order,4.0,₹100 for one,"Fast Food, Street Food, Desserts, Beverages, Shake"
274,Mallu Vish,https://www.zomato.com/visakhapatnam/mallu-vish-lawsons-bay-vizag/order,3.9,₹100 for one,Kerala
275,The Spicy Biryani,https://www.zomato.com/visakhapatnam/the-spicy-biryani-balayya-sastri-layout-vizag/order,3.3,₹100 for one,"Biryani, Chinese"
276,Sri Sivarama Reddy Sweets & Bakery,https://www.zomato.com/visakhapatnam/sri-sivarama-reddy-sweets-bakery-akkayyapalem-vizag/order,4.2,₹100 for one,"Bakery, Desserts"
277,Monisha Kitchen,https://www.zomato.com/visakhapatnam/monisha-kitchen-1-sagar-nagar-vizag/order,4.2,₹100 for one,"Bengali, South Indian, Biryani"
278,Dessertino,https://www.zomato.com/visakhapatnam/dessertino-siripuram-vizag/order,3.8,₹100 for one,"Desserts, Shake"
279,Samosa Singh,https://www.zomato.com/visakhapatnam/samosa-singh-dondaparithy-vizag/order,3.1,₹100 for one,Street Food
280,Panorama - Ambica Sea Green,https://www.zomato.com/visakhapatnam/panorama-ambica-sea-green-kirlampudi-layout-vizag/order,4.3,₹100 for one,"Biryani, Chinese, Continental, North Indian"
281,Budapest Bake Inn,https://www.zomato.com/visakhapatnam/budapest-bake-inn-seethammadhara-vizag/order,3.8,₹100 for one,"European, Desserts, Shake"
282,Vizag Star Grand,https://www.zomato.com/visakhapatnam/vizag-star-grand-ram-nagar-vizag/order,3.4,₹100 for one,"Biryani, Chinese, Kebab, Sichuan"
283,Pure Veg Meals By LunchBox,https://www.zomato.com/visakhapatnam/pure-veg-meals-by-lunchbox-dwaraka-nagar-vizag/order,3.6,₹100 for one,North Indian
284,Rice Bowl,https://www.zomato.com/visakhapatnam/rice-bowl-asilmetta-vizag/order,3.6,₹100 for one,North Indian
285,The Lassi Shop,https://www.zomato.com/visakhapatnam/the-lassi-shop-mvp-colony-vizag/order,3.6,₹100 for one,"Beverages, Desserts"
286,Sri Sai Jayanth Fast Foods,https://www.zomato.com/visakhapatnam/sri-sai-jayanth-fast-foods-jagadamba-junction-vizag/order,3.4,₹100 for one,"Chinese, Biryani"
287,Dayaram Sweets,https://www.zomato.com/visakhapatnam/dayaram-sweets-jagadamba-junction-vizag/order,4.1,₹100 for one,"Mithai, Desserts, Street Food"
288,Millet Rasoi,https://www.zomato.com/visakhapatnam/millet-rasoi-venkojipalem-vizag/order,3.3,₹100 for one,"South Indian, North Indian, Chinese, Fast Food, Healthy Food"
289,Cakes Heaven,https://www.zomato.com/visakhapatnam/cakes-heaven-dondaparithy-vizag/order,-,₹100 for one,Desserts
290,Cherishmas's Pot Biryani,https://www.zomato.com/visakhapatnam/cherishmass-pot-biryani-ram-nagar-vizag/order,3.8,₹100 for one,Biryani
291,Burgerito,https://www.zomato.com/visakhapatnam/burgerito-dwaraka-nagar-vizag/order,3.6,₹100 for one,"Fast Food, Beverages"
292,The Port Hotel,https://www.zomato.com/visakhapatnam/the-port-hotel-allipuram-vizag/order,3.9,₹100 for one,"Chinese, North Indian, Biryani"
293,Fusion Foods Multicusine Family Restaurant,https://www.zomato.com/visakhapatnam/fusion-foods-multicusine-family-restaurant-siripuram-vizag/order,4.1,₹100 for one,"Biryani, North Indian, South Indian, Chinese, Desserts, Beverages"
294,Five Star Chicken Koli Hut,https://www.zomato.com/visakhapatnam/five-star-chicken-koli-hut-mvp-colony-vizag/order,3.1,₹100 for one,"Fast Food, Burger, Rolls"
295,Dumont Creamery,https://www.zomato.com/visakhapatnam/dumont-creamery-chinna-waltair-vizag/order,3.4,₹100 for one,"Ice Cream, Beverages"
296,Rajadhani,https://www.zomato.com/visakhapatnam/rajadhani-dwaraka-nagar-vizag/order,4.0,₹100 for one,"North Indian, Chinese, Andhra, Biryani, Sichuan"
297,Pizza Mania,https://www.zomato.com/visakhapatnam/pizza-mania-madhavadhara-vizag/order,-,₹150 for one,Pizza
298,Firangi Bake,https://www.zomato.com/visakhapatnam/firangi-bake-dwaraka-nagar-vizag/order,4.0,₹150 for one,"Italian, Mexican"
299,Five Star Chicken,https://www.zomato.com/visakhapatnam/five-star-chicken-seethammadhara-vizag/order,4.1,₹150 for one,"Fast Food, Burger, Rolls"
300,Sweet Truth - Cake and Desserts,https://www.zomato.com/visakhapatnam/sweet-truth-cake-and-desserts-dwaraka-nagar-vizag/order,3.3,₹150 for one,"Desserts, Bakery"
301,Signature Wraps & Rolls By Faasos,https://www.zomato.com/visakhapatnam/signature-wraps-rolls-by-faasos-dwaraka-nagar-vizag/order,4.0,₹150 for one,"Rolls, Wraps"
302,Iceberg Organic Icecreams,https://www.zomato.com/visakhapatnam/iceberg-organic-icecreams-dwaraka-nagar-vizag/order,4.2,₹150 for one,"Desserts, Ice Cream"
303,New Bharat Cafe,https://www.zomato.com/visakhapatnam/new-bharat-cafe-allipuram-vizag/order,4.5,₹150 for one,South Indian
304,Plan B,https://www.zomato.com/visakhapatnam/plan-b-mvp-colony-vizag/order,3.9,₹150 for one,"Chinese, Street Food, Fast Food, Pizza, Burger, Momos, Continental, Shake"
305,Rujvi Food Mahal,https://www.zomato.com/visakhapatnam/rujvi-food-mahal-madhavadhara-vizag/order,3.9,₹150 for one,"South Indian, Chinese, Rolls"
306,Waltair Pizzeria,https://www.zomato.com/visakhapatnam/waltair-pizzeria-dwaraka-nagar-vizag/order,3.9,₹150 for one,"Pizza, Fast Food, Shake"
307,Habiba Biryani,https://www.zomato.com/visakhapatnam/habiba-biryani-mvp-colony-vizag/order,3.6,₹150 for one,"Biryani, Chinese, Desserts, Beverages"
308,Shahasya Foods,https://www.zomato.com/visakhapatnam/shahasya-foods-dondaparithy-vizag/order,-,₹150 for one,"Chinese, North Indian, Street Food, Seafood, Biryani, Mughlai, Beverages"
309,New Andhra Restaurant,https://www.zomato.com/visakhapatnam/new-andhra-restaurant-waltair-uplands-vizag/order,3.9,₹150 for one,"Andhra, Chinese, Biryani, North Indian"
310,Star Jingle Bells,https://www.zomato.com/visakhapatnam/star-jingle-bells-sagar-nagar-vizag/order,3.4,₹150 for one,"North Indian, Chinese, Biryani, Sichuan"
311,Mr Kitchen,https://www.zomato.com/visakhapatnam/mr-kitchen-seethammadhara-vizag/order,4.0,₹150 for one,"Andhra, North Indian, Chinese, Kebab, Biryani"
312,Uncle's Pulao,https://www.zomato.com/visakhapatnam/uncles-pulao-lawsons-bay-vizag/order,3.6,₹150 for one,"South Indian, Biryani, North Indian"
313,Gluttons Garage,https://www.zomato.com/visakhapatnam/gluttons-garage-kirlampudi-layout-vizag/order,3.7,₹150 for one,"Cafe, Healthy Food, Continental, Shake"
314,Manmohan Rajasthani Bhojanalaya,https://www.zomato.com/visakhapatnam/manmohan-rajasthani-bhojanalaya-allipuram-vizag/order,3.8,₹150 for one,"North Indian, Chinese, South Indian"
315,Veg Daawat By Behrouz,https://www.zomato.com/visakhapatnam/veg-daawat-by-behrouz-dwaraka-nagar-vizag/order,4.0,₹150 for one,"Biryani, Mughlai, North Indian"
316,Wrap It,https://www.zomato.com/visakhapatnam/wrap-it-dondaparithy-vizag/order,4.1,₹150 for one,"Wraps, Beverages"
317,Sri Bansuri Sweets,https://www.zomato.com/visakhapatnam/sri-bansuri-sweets-ram-nagar-vizag/order,4.1,₹150 for one,"North Indian, Chinese, South Indian, Fast Food, Street Food, Desserts"
318,Korner Bistro,https://www.zomato.com/visakhapatnam/korner-bistro-madhavadhara-vizag/order,4.0,₹150 for one,"Chinese, North Indian, Biryani, Rolls, Sichuan"
319,Express By ABs,https://www.zomato.com/visakhapatnam/express-by-abs-dwaraka-nagar-vizag/order,3.4,₹150 for one,"North Indian, Biryani, BBQ"
320,Bowls Of Hindustan,https://www.zomato.com/visakhapatnam/bowls-of-hindustan-asilmetta-vizag/order,3.7,₹150 for one,"North Indian, Hyderabadi"
321,Five Star Koli Hut,https://www.zomato.com/visakhapatnam/five-star-koli-hut-kancharapalem-vizag/order,3.5,₹100 for one,"Fast Food, Burger, Rolls"
322,The Vizag's Chemistry,https://www.zomato.com/visakhapatnam/the-vizags-chemistry-asilmetta-vizag/order,3.9,₹100 for one,"Cafe, North Indian, Sandwich, Mexican, Italian, Fast Food, Desserts, Beverages"
323,Tea Time Jagadamba,https://www.zomato.com/visakhapatnam/tea-time-jagadamba-allipuram-vizag/order,4.5,₹100 for one,"Tea, Beverages, Shake"
