,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
35,Shree Shyam Restaurant,https://www.zomato.com/visakhapatnam/shree-shyam-restaurant-allipuram-vizag/order,3.7,₹200 for one,North Indian
36,New Satyam Ritz Comfort,https://www.zomato.com/visakhapatnam/new-satyam-ritz-comfort-dwaraka-nagar-vizag/order,4.1,₹200 for one,Biryani
37,Royal Rajasthan Restaurant,https://www.zomato.com/visakhapatnam/royal-rajasthan-restaurant-allipuram-vizag/order,3.8,₹200 for one,North Indian
38,Konaseema Biryani,https://www.zomato.com/visakhapatnam/konaseema-biryani-maddilapalem-vizag/order,3.6,₹200 for one,"Biryani, Chinese, Andhra"
39,New Muntaj Biryani,https://www.zomato.com/visakhapatnam/new-muntaj-biryani-balayya-sastri-layout-vizag/order,3.3,₹200 for one,"Biryani, Chinese, North Indian"
40,Subbaiah Gari Hotel,https://www.zomato.com/visakhapatnam/subbaiah-gari-hotel-dondaparithy-vizag/order,4.2,₹200 for one,"Andhra, Mithai"
41,Jingle Bells,https://www.zomato.com/visakhapatnam/jingle-bells-sagar-nagar-vizag/order,3.5,₹200 for one,"Chinese, Beverages"
42,Zeeshan Restaurant - Apna Hyderabadi Food,https://www.zomato.com/visakhapatnam/zeeshan-restaurant-apna-hyderabadi-food-jagadamba-junction-vizag/order,4.1,₹200 for one,"Chinese, North Indian, Mughlai, Biryani, Kebab, Juices, Shake, Beverages"
43,CakeZone,https://www.zomato.com/visakhapatnam/cakezone-dwaraka-nagar-vizag/order,4.1,₹200 for one,"Desserts, Bakery, Ice Cream"
44,Asha Family Restaurant & Fast Foods,https://www.zomato.com/visakhapatnam/asha-family-restaurant-fast-foods-lawsons-bay-vizag/order,3.2,₹200 for one,"Biryani, Chinese, Seafood"
45,Yasoddha Noodles Point,https://www.zomato.com/visakhapatnam/yasoddha-noodles-point-lawsons-bay-vizag/order,4.0,₹150 for one,"Chinese, Biryani, North Indian"
46,Grand Sri Sai Ram Parlour,https://www.zomato.com/visakhapatnam/grand-sri-sai-ram-parlour-dwaraka-nagar-vizag/order,3.8,₹150 for one,"South Indian, Andhra"
